Country Name,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,6.388,32.219,27.097,11.326,,20.16535716,15.714,8.567,9.646,,9.643,8.6,12.7,12.83,23.226,12.4,28.847,28.562,20.324,8.1,14.694,7.274,9.656,9.918,11.181,9.9,23.584,13.353,10.826,13.857,28.811,17.687,28.161,7.8,8.632179425,9.8,12.157,11.498,25.43,28.627,22.243,22.794,18.924,11.666,23.413,20.396,10.229,9.603008826,8.834,,,7.506,9.8,12,18.24,,9.5,16.112,20.355,23.07300814,20.19370167,21.02304038,10.49783196,10.34889356,15.676,19.358,10.48535642,25.11,8.6,10.5,25,10.04622548,24.06052683,9,8.449,11.4,,13.705,25.486,11.5,12.402,18.464,,29.661,31.123,25.761,28.015,7.3,11.065,,18.695,8.019,10.066,9.736749569,5.966,19.928,24.5762112,10,22.612,10.2,19.62331443,20.2137846,23.19741225,22.1796744,19.177,23.67163936,16.7,22.184,,11.5,21.933,17.534,6.6,5.7,9.6,8.877,15.8,7.6,12.299,19.952,15.658,21.77,19.221,,12.622,9.544,13.08769179,20.321,10.467,29.444,23.974,13.588,12.88092732,24.20481791,24.83806816,7.5,11.827,20.40995193,20.48280116,18.548,19.83202132,7.8,11.8,10,8.65,,18.464,,11.646,24.851,28.044,20.21839512,12.27,,20.18481371,10.58,36.838,8.6,21.953,20.60318987,9.9,19.855,,24.27,19.87,9.813,27.937,10.477,9.34680858,18.925,10.1,28.885,26.381,18.737,7.6,9.1,27.248,,8.8,10.27944975,22.457,17.6714343,20.675,9.873,18.439,9.692,,25.101,7.6,25.15308561,6.7,14.165,10.7,8.23,,11.36254293,9.738445389,11.001,9.398,8.7,8.304,22.734,21.98149988,20.319,17.551,26.023,6.2,16.184,32.3,17.066,,26.748,,24.03278182,32.512,23.99151344,14.94537956,17.807,11.358,7.8,9.6,10,20.743,,,16.102,,26.537,23.18820549,10.09553849,24.13,13.18,18.235,15.946,13.09562696,29.006,20.60318987,9.951,21.98149988,23.99151344,9.026,23.264,20.281,,20.626,20.385,8.675,20.02372029,9.735,9.5,13.599,12.541,9.481,,10,12.045,16.007,17.71449651,10.822,,36.234,17.398,18.471,14.441
1961,6.241,31.649,26.859,10.719,,19.6810969,14.761,8.618,9.249,,9.356,8.5,12.1,12.595,22.93,11.6,28.286,28.147,19.839,7.9,13.686,7.113,9.293,9.69,10.86,,23.187,13.041,10.443,12.998,28.446,17.275,27.758,7.7,8.49502251,9.4,12.188,11.27,14.24,27.694,21.948,22.589,18.485,11.306,23.013,20.011,9.864,9.394248201,8.686,,,7.324,9.9,11.6,17.907,,9.4,15.51,19.967,14.63068048,19.69144386,13.71129775,10.27489424,10.19101612,15.259,18.879,10.25062707,24.492,8.3,10.6,24.395,9.837124705,23.62211972,9.1,8.137,11.3,,13.312,25.298,12,12.054,18.19,,29.277,30.754,25.481,27.624,7.6,10.73,,18.237,7.812,9.877,9.571620416,6.1,19.312,24.17570762,9.1,22.236,9.6,15.47822669,16.6902096,22.73400155,21.64274446,18.671,23.24225591,17.8,21.652,,12.3,21.275,16.761,7,5.8,9.3,8.752,15.277,7.4,11.984,19.393,15.17,21.61,18.749,,12.157,9.075,12.78126301,20.089,10.188,29.205,22.48,13.078,12.58644372,23.78905864,24.44011476,7.8,11.316,19.92178646,16.88560072,18.379,12.8771746,7.9,11.4,10.1,8.215,,18.083,,11.352,24.42,27.626,19.69736867,11.915,,16.36368195,10.129,36.606,9,21.413,20.06609587,9.504,19.381,,23.97,19.36,9.8,27.75,10.027,9.155251978,18.362,9.3,28.881,25.941,18.096,7.6,9.2,26.856,,9,10.09290372,21.778,17.44056025,19.999,9.609,17.94,9.396,,24.295,7.6,24.74550313,6.8,13.87,11.2,8.114,,11.01456512,9.554550807,10.74,8.887,8.7,8.176,22.395,21.44180613,19.934,17.247,25.815,5.9,15.701,32.054,16.583,,26.367,,23.63772979,32.055,23.5972173,14.70873827,17.396,11.02,7.5,8.8,9.8,20.46,,,15.583,,26.234,14.64073266,9.900783029,23.516,12.853,17.983,15.578,12.79015327,28.505,20.06609587,9.767,21.44180613,23.5972173,8.806,22.679,19.66,,20.442,19.87,8.42,13.77440463,9.645,9.3,13.323,12.197,9.176,,9.68,11.66,15.567,14.99922193,10.58,,36.031,17.104,18.191,14.104
1962,6.118,31.093,26.627,10.175,,19.2054199,13.814,8.679,8.837,,9.068,8.7,12.7,12.321,22.629,12.2,27.731,27.735,19.368,8.7,12.698,6.963,8.964,9.494,10.54,7.4,22.802,12.72,10.098,12.162,28.05,16.867,27.335,7.7,9.11482855,9.9,12.209,11.032,10.02,26.792,21.657,22.394,18.069,10.959,22.6,19.545,9.488,9.199297089,8.524,,,7.132,10.8,11.9,17.604,,9.8,14.914,19.574,11.42217786,19.19918028,10.96147125,10.11501696,10.32753299,14.856,18.445,10.57332557,23.918,8.7,10.9,23.837,10.22628541,23.19275694,9.5,7.864,11.2,,12.932,25.042,11.9,11.701,17.928,,28.925,30.342,25.198,27.218,7.9,10.386,,17.783,7.587,9.696,9.774891495,6.3,18.724,23.79056515,10,21.862,10.8,13.82113615,15.24261292,22.28125739,21.12464359,18.166,22.81987778,16.5,21.126,,11.9,20.627,16.061,6.8,6,10,8.65,14.746,7.5,11.655,18.845,14.654,21.435,18.249,,11.76,8.635,12.48407643,19.865,9.919,28.901,21.023,12.566,12.29913702,23.38018673,24.05556944,9.5,10.843,19.44591525,15.39613651,18.228,10.2665982,8.7,12.6,10.8,7.772,,17.678,,11.059,23.987,27.122,19.18156349,11.61,,14.79559799,9.72,36.335,8.8,20.864,19.53955974,9.141,18.88,,23.741,18.841,9.3,27.576,9.6,9.33624128,17.819,8.5,28.876,25.519,17.463,7.9,9.4,26.414,,8.9,10.24407898,21.12,17.16200016,19.357,9.354,17.455,9.132,,23.522,7.9,24.35203307,6.8,13.596,10.8,8.005,,10.68213896,9.740401053,10.503,8.385,9.2,8.098,22.045,20.91076925,19.537,16.951,25.683,5.8,15.224,31.789,16.117,,25.99,,23.25676835,31.613,23.21571197,14.44663944,16.886,10.7,8.1,9.9,10.2,20.184,,,15.063,,25.935,11.39332712,9.841819858,22.93,12.534,17.692,15.173,12.49421179,28.003,19.53955974,9.545,20.91076925,23.21571197,8.587,22.047,19.037,,20.255,19.362,8.231,11.38748888,9.573,9.5,13.015,11.861,8.881,,9.36,11.273,15.119,13.9525852,10.344,,35.732,16.816,17.931,13.762
1963,6.012,30.551,26.407,9.707,,18.73383542,12.89,8.747,8.419,,8.78,8.7,12.8,12.007,22.328,12.6,27.172,27.325,18.92,8.2,11.752,6.828,8.657,9.328,10.22,,22.424,12.391,9.797,11.381,27.616,16.464,26.888,7.8,8.511228421,10,12.213,10.784,10.04,25.934,21.37,22.199,17.674,10.619,22.184,18.999,9.108,9.017498764,8.336,,,6.94,10.4,12,17.332,,9.8,14.329,19.176,11.32705339,18.71859045,10.82551808,9.947504763,10.2359116,14.467,18.044,10.60959568,23.399,8.8,10.5,23.335,10.11408066,22.76942334,9.3,7.628,11.1,,12.565,24.699,12.2,11.347,17.674,,28.606,29.872,24.913,26.81,7.9,10.04,,17.335,7.344,9.528,9.693217148,5.9,18.168,23.420185,9.1,21.482,9.9,13.56636125,14.95859488,21.83997633,20.62681963,17.666,22.40492693,17.7,20.608,,11.8,19.99,15.41,7.2,6.1,10.1,8.568,14.203,7,11.313,18.319,14.125,21.254,17.723,,11.396,8.228,12.1942045,19.649,9.659,28.527,19.66,12.051,12.02053415,22.97839685,23.67716009,8.1,10.398,18.98443712,15.11712806,18.088,10.17189635,8,12.1,10.3,7.34,,17.258,,10.77,23.555,26.546,18.67403953,11.346,,14.5240952,9.348,36.004,9.2,20.294,19.0195044,8.817,18.364,,23.584,18.324,9.7,27.41,9.198,9.436050834,17.3,8.566666667,28.868,25.119,16.848,8,10,25.933,,8.9,10.16347547,20.479,16.88773208,18.747,9.109,16.989,8.9,,22.768,7.5,23.97146736,7,13.284,10.9,7.907,,10.36636821,9.691338771,10.274,7.895,8.3,8.067,21.689,20.39056483,19.12,16.663,25.62,5.6,14.755,31.493,15.67,,25.616,,22.89018086,31.177,22.85129641,14.19319006,16.268,10.396,7.7,9.3,10.1,19.91,,,14.543,,25.643,11.30131953,9.598913282,22.368,12.226,17.37,14.736,12.20627228,27.494,19.0195044,9.285,20.39056483,22.85129641,8.365,21.364,18.424,,20.058,18.87,8.115,11.26009027,9.525,9.6,12.681,11.528,8.598,,9.04,10.899,14.664,13.73560739,10.113,,35.321,16.527,17.689,13.419
1964,5.92,30.022,26.194,9.32,,18.26403619,11.999,8.813,8.005,,8.497,9,12.3,11.657,22.031,11.7,26.606,26.918,18.512,7.9,10.865,6.709,8.367,9.189,9.902,,22.048,12.055,9.543,10.678,27.146,16.066,26.414,7.5,8.505739901,9.3,12.2,10.525,11.5,25.126,21.083,21.996,17.299,10.282,21.768,18.381,8.729,8.849227814,8.121,,,6.766,10.5,11.6,17.083,,9.9,13.76,18.776,12.29102857,18.24959815,11.6355747,9.819558962,9.978235788,14.089,17.668,10.2688758,22.936,8.4,10,22.894,9.867561598,22.34978516,9.3,7.428,11.1,,12.215,24.268,11.3,10.997,17.426,,28.316,29.337,24.63,26.419,8.2,9.699,,16.896,7.088,9.375,9.428102989,5.3,17.645,23.0631241,10.1,21.09,10,13.82953264,15.10838286,21.41235269,20.1498349,17.172,22.00026508,16.1,20.096,,11.4,19.366,14.792,7,6.3,9.5,8.502,13.645,6.9,10.963,17.82,13.598,21.086,17.179,,11.038,7.856,11.90945016,19.442,9.408,28.088,18.425,11.54,11.74773079,22.58582637,23.29846954,7.9,9.972,18.53812054,15.26526976,17.95,10.97388067,7.4,11.8,9.4,6.936,,16.83,,10.49,23.127,25.911,18.1689702,11.114,,14.70876156,9.005,35.604,8.6,19.7,18.50421685,8.533,17.844,,23.491,17.818,8.7,27.244,8.821,9.226159724,16.809,8.633333333,28.853,24.742,16.261,7.7,9.5,25.422,,8.8,9.886325327,19.854,16.4512086,18.168,8.872,16.544,8.699,,22.023,7.6,23.60109372,7.3,12.895,10.7,7.822,,10.07043557,9.426206983,10.039,7.422,8.1,8.08,21.339,19.88096703,18.677,16.38,25.604,5.7,14.295,31.158,15.246,,25.246,,22.53692849,30.738,22.49614333,13.84206033,15.561,10.107,7.6,10.2,10,19.631,,,14.025,,25.355,12.28313823,9.505100453,21.825,11.929,17.031,14.279,11.92405894,26.973,18.50421685,8.995,19.88096703,22.49614333,8.144,20.633,17.831,,19.846,18.402,8.072,11.90825052,9.501,9.4,12.33,11.198,8.327,,8.72,10.563,14.208,13.79050655,9.888,,34.79,16.233,17.462,13.083
1965,5.839,29.501,25.966,9.009,,17.79666741,11.148,8.871,7.609,,8.226,8.8,13,11.28,21.749,12.2,26.036,26.516,18.2,8.2,10.052,6.61,8.088,9.079,9.592,,21.671,11.718,9.336,10.068,26.64,15.672,25.909,7.6,8.67903438,9.5,12.171,10.255,9.5,24.362,20.794,21.776,16.943,9.945,21.356,17.718,8.357,8.693249898,7.882,,,6.644,10.7,12,16.841,,10.1,13.207,18.383,10.72160064,17.79431533,10.29479509,9.741948812,10.08571443,13.719,17.315,10.51702624,22.524,8.4,10.4,22.514,10.08735426,21.93259791,9.7,7.264,11.1,,11.886,23.754,11.6,10.66,17.181,,28.055,28.729,24.353,26.085,7.9,9.375,,16.466,6.825,9.239,9.539447441,5,17.155,22.71647912,9.3,20.685,10.7,12.92876716,14.29413728,21.00442468,19.69347844,16.684,21.61479407,17.7,19.591,,11.5,18.752,14.199,6.7,6.3,9.9,8.44,13.077,7.1,10.617,17.35,13.091,20.859,16.624,,10.664,7.519,11.62859889,19.241,9.167,27.593,17.334,11.041,11.47031894,22.2111299,22.91488421,8.1,9.562,18.11239494,14.43052007,17.807,9.706300752,7.9,12.2,10.1,6.575,,16.403,,10.229,22.703,25.224,17.66865433,10.903,,13.84243485,8.687,35.128,9.4,19.091,17.99408276,8.286,17.328,,23.445,17.337,8.8,27.061,8.471,9.234469416,16.352,8.7,28.827,24.388,15.705,8,9.4,24.896,,8.7,9.963505886,19.245,16.26426934,17.617,8.643,16.11,8.526,,21.286,7.4,23.23715067,6.8,12.412,10.6,7.747,,9.796981886,9.543205324,9.795,6.971,8.6,8.131,21.013,19.38759606,18.195,16.099,25.605,5.4,13.848,30.781,14.844,,24.879,,22.19452741,30.295,22.15513055,13.65949092,14.822,9.837,8.2,9.7,10.1,19.339,,,13.509,,25.064,10.6995929,9.441722829,21.299,11.639,16.681,13.813,11.64628441,26.409,17.99408276,8.68,19.38759606,22.15513055,7.934,19.854,17.267,,19.614,17.971,8.097,10.72230234,9.505,9.4,11.974,10.872,8.066,,8.4,10.326,13.76,13.20553732,9.668,,34.136,15.93,17.241,12.76
1966,5.77,28.985,25.69,8.762,,17.3359192,10.339,8.917,7.242,,7.978,8.9,12.5,10.889,21.496,12.1,25.476,26.123,18.052,8.3,9.322,6.534,7.822,8.999,9.295,7.2,21.292,11.382,9.175,9.553,26.102,15.28,25.364,7.5,8.51306874,9.4,12.13,9.975,8.83,23.626,20.496,21.533,16.602,9.608,20.945,17.043,7.998,8.549596469,7.628,,,6.612,10.8,11.9,16.585,,10.3,12.674,18.005,10.1304129,17.35643432,9.757980182,9.695549219,10.00794203,13.353,16.992,10.38515354,22.151,8.4,10.5,22.19,9.949359434,21.51845344,9.5,7.141,11,,11.582,23.173,11.8,10.348,16.94,,27.819,28.05,24.09,25.853,7.9,9.081,,16.044,6.563,9.121,9.455092141,5.3,16.692,22.3774658,8.8,20.27,10,12.48014425,13.85985412,20.62398266,19.25737795,16.201,21.26005996,16.7,19.093,,12.2,18.146,13.63,7.1,6.3,9.4,8.37,12.505,6.8,10.288,16.904,12.621,20.472,16.068,,10.266,7.216,11.34894657,19.046,8.933,27.059,16.373,10.568,11.19835348,21.86616729,22.52611155,7.8,9.167,17.71340103,13.98680937,17.649,9.237159573,7.9,12.1,10.2,6.268,,15.984,,9.997,22.285,24.493,17.17434825,10.701,,13.39468405,8.392,34.577,9.1,18.488,17.49264251,8.069,16.817,,23.426,16.895,9,26.843,8.151,9.314393586,15.932,9.45,28.788,24.055,15.185,8.1,9.6,24.364,,8.9,9.865781358,18.651,16.0331521,17.094,8.419,15.669,8.38,,20.558,7.4,22.87567344,6.7,11.846,11.2,7.678,,9.551274236,9.471972812,9.544,6.55,8.2,8.22,20.731,18.91667071,17.662,15.819,25.587,5.4,13.416,30.366,14.463,,24.518,,21.85980056,29.851,21.8221231,13.45549141,14.133,9.591,8.2,9.1,10,19.027,,,12.994,,24.763,10.10813897,9.37420401,20.787,11.346,16.329,13.355,11.37006533,25.764,17.49264251,8.348,18.91667071,21.8221231,7.751,19.028,16.743,,19.361,17.591,8.182,10.24642937,9.538,9.5,11.625,10.557,7.809,,8.088888889,10.259,13.333,12.86309924,9.457,,33.365,15.614,17.012,12.458
1967,5.716,28.468,25.342,8.555,,16.88604012,9.567,8.95,6.91,,7.761,8.7,12.9,10.501,21.277,12,24.94,25.741,18.091,9,8.666,6.482,7.572,8.951,9.017,,20.915,11.053,9.053,9.111,25.543,14.886,24.782,7.4,9.021372137,9.2,12.087,9.689,8.43,22.899,20.186,21.269,16.273,9.273,20.532,16.386,7.654,8.417431687,7.375,,,6.686,11.1,11.9,16.297,,9.9,12.158,17.646,9.747403616,16.93747032,9.411132631,9.69610879,10.02563602,12.988,16.703,10.40922034,21.796,8.4,10.4,21.911,10.08974372,21.1098509,9.5,7.057,11,,11.304,22.556,11.2,10.068,16.701,,27.6,27.314,23.844,25.74,8.3,8.822,,15.631,6.31,9.018,9.404263434,5.4,16.248,22.0429947,9.5,19.854,10.7,12.15619925,13.5357995,20.27584099,18.84032227,15.721,20.9437619,17.3,18.603,,10.8,17.544,13.097,7,6.4,9.6,8.283,11.942,6.7,9.991,16.471,12.196,19.965,15.524,,9.858,6.942,11.07045173,18.853,8.707,26.507,15.498,10.129,10.92470785,21.55941221,22.13597471,7.8,8.793,17.34397438,13.63997285,17.471,8.963138508,8.1,12.3,10.6,6.012,,15.575,,9.804,21.869,23.721,16.68957421,10.498,,13.04985589,8.12,33.967,9.6,17.918,17.00309572,7.872,16.314,,23.411,16.495,8.6,26.576,7.863,9.213694529,15.546,10.2,28.732,23.737,14.696,7.9,9.6,23.834,,8.4,9.765343679,18.072,15.75598723,16.6,8.198,15.207,8.257,,19.852,7.7,22.51350149,6.3,11.246,10.8,7.608,,9.333981015,9.407763933,9.298,6.162,9.2,8.342,20.505,18.47180278,17.078,15.541,25.514,5.3,13,29.924,14.101,,24.161,,21.52917072,29.412,21.49149579,13.22848103,13.562,9.372,8,9.7,10.1,18.69,,,12.481,,24.445,9.727920692,9.471819436,20.289,11.046,15.975,12.917,11.09495603,25.05,17.00309572,8.011,18.47180278,21.49149579,7.609,18.164,16.257,,19.09,17.267,8.31,9.923076843,9.593,9.4,11.292,10.26,7.553,,7.777777778,10.381,12.938,12.60031956,9.255,,32.5,15.287,16.768,12.183
1968,5.682,27.946,24.916,8.366,,16.44810095,8.83,8.969,6.623,,7.581,9.1,12.9,10.132,21.093,12.7,24.437,25.371,18.301,8.6,8.076,6.45,7.344,8.936,8.762,,20.54,10.736,8.959,8.726,24.972,14.489,24.166,7.4,9.197538657,9.5,12.045,9.399,8.21,22.167,19.861,20.99,15.953,8.945,20.116,15.769,7.328,8.29469672,7.138,,,6.863,11.7,12.6,15.964,,9.7,11.661,17.304,9.504964863,16.53912036,9.209514446,9.688660027,10.22550382,12.622,16.446,10.7174308,21.445,8.4,10.7,21.667,10.35463903,20.70820089,9.7,7.009,10.9,,11.053,21.927,11.9,9.825,16.465,,27.388,26.538,23.617,25.739,8.4,8.605,,15.227,6.075,8.927,9.666244255,5.1,15.813,21.7112581,10,19.445,11.2,11.88608369,13.26211099,19.9613518,18.44100486,15.244,20.66866058,17.4,18.122,,11.4,16.942,12.604,6.9,6.7,10,8.173,11.398,6.8,9.735,16.043,11.82,19.485,15.006,,9.454,6.689,10.79366086,18.661,8.49,25.952,14.67,9.732,10.6586875,21.29495933,21.74884769,7.1,8.447,17.0038518,13.35490914,17.265,8.794556542,8.4,12.2,10.8,5.805,,15.181,,9.658,21.456,22.916,16.22205396,10.285,,12.7707393,7.873,33.316,9.4,17.398,16.52606741,7.687,15.823,,23.378,16.14,9.2,26.256,7.604,9.575183563,15.191,9.9,28.657,23.427,14.236,8.2,9.9,23.314,,8.9,9.980059875,17.505,15.59007977,16.135,7.976,14.718,8.153,,19.175,7.6,22.14919572,6.5,10.653,10.7,7.533,,9.144735711,9.677880258,9.066,5.809,9.5,8.492,20.337,18.05324393,16.445,15.267,25.354,5.5,12.598,29.469,13.757,,23.809,,21.20025985,28.983,21.16553116,13.08001983,13.146,9.181,8.5,10.2,10.4,18.325,,,11.97,,24.109,9.490001338,9.480536918,19.804,10.733,15.623,12.51,10.82103467,24.307,16.52606741,7.681,18.05324393,21.16553116,7.514,17.277,15.805,,18.804,17.002,8.467,9.692238372,9.664,9.8,10.986,9.984,7.298,,7.466666667,10.673,12.578,12.45951411,9.065,,31.563,14.952,16.504,11.937
1969,5.666,27.418,24.418,8.184,,16.01921167,8.132,8.976,6.385,,7.438,8.7,13.3,9.792,20.94,12.5,23.967,25.009,18.638,9.5,7.55,6.434,7.137,8.949,8.53,,20.168,10.436,8.888,8.388,24.399,14.087,23.523,7.3,9.711485153,9.5,12.009,9.11,8.03,21.43,19.522,20.702,15.639,8.626,19.701,15.202,7.021,8.179427893,6.922,,,7.129,12.2,12.7,15.586,,9.8,11.186,16.975,9.299602389,16.15869762,9.011742049,9.740749621,10.36215196,12.255,16.208,10.87862205,21.092,8.9,11.3,21.454,10.59412782,20.3142408,9.9,6.992,10.9,,10.829,21.303,11.9,9.62,16.229,,27.174,25.739,23.41,25.83,8.2,8.433,,14.833,5.863,8.846,9.645187932,5,15.381,21.38178941,10.7,19.045,11.3,11.65193493,13.02290027,19.67866353,18.05878826,14.772,20.43262085,18.2,17.65,,11.5,16.341,12.15,7.1,6.9,10.1,8.038,10.879,6.8,9.523,15.616,11.5,19.246,14.524,,9.057,6.451,10.51985232,18.47,8.283,25.405,13.878,9.377,10.39345268,21.07154276,21.3678923,8,8.128,16.68924637,13.09585719,17.028,8.674959277,8.7,12.4,11.2,5.645,,14.804,,9.56,21.048,22.09,15.7606834,10.055,,12.51921182,7.65,32.635,9.9,16.934,16.059755,7.512,15.353,,23.313,15.828,8.3,25.884,7.375,9.293202655,14.859,9.6,28.561,23.12,13.806,8.4,10.1,22.809,,8.6,9.926491394,16.943,15.37751009,15.699,7.753,14.205,8.064,,18.528,8.1,21.78285522,6.5,10.079,11.5,7.452,,8.980774357,9.651209513,8.847,5.492,10.1,8.663,20.225,17.6573126,15.769,14.999,25.086,5,12.206,29.008,13.435,,23.46,,20.87201008,28.564,20.83592328,12.90633082,12.888,9.013,9,10.8,10.5,17.927,,,11.464,,23.759,9.289425592,9.616934096,19.332,10.408,15.278,12.143,10.54954996,23.598,16.059755,7.371,17.6573126,20.83592328,7.467,16.384,15.386,,18.508,16.795,8.643,9.492143011,9.745,9.5,10.71,9.731,7.046,,7.155555556,11.087,12.253,12.26646597,8.885,,30.572,14.609,16.22,11.721
